"n","tau","kappa","estimator","mean_signed_error","Bias","MAE","RMSE","coverage","size_null_rejection_rate","MCSE_coverage","median_accepted_set_measure_A","mean_accepted_set_measure_A","full_A_acceptance_rate","left_CR_boundary_contact_rate","right_CR_boundary_contact_rate","point_left_boundary_rate","point_right_boundary_rate","numerical_failure_rate","successful_replications","failed_replications"
1000,0.75,0.5,"Oracle-GMM",-0.0322897501960814,0.0322897501960814,0.118020409992157,0.163956664907912,0.93,0.07,0.0114105214604767,0.7,0.79125,0,0.014,0,0,0,0,500,0
1000,0.75,0.25,"DML-IVQR",-0.116689750196081,0.116689750196081,0.334551016018824,0.537787744189865,0.938,0.062,0.0107848041243223,2.2625,2.26095,0.034,0.296,0.318,0.002,0.006,0,500,0
1000,0.75,0.25,"Full-GMM",-0.225289750196081,0.225289750196081,0.486718360031373,0.706069990541598,0.95,0.05,0.00974679434480897,2.925,2.7824,0.022,0.516,0.316,0.002,0.004,0,500,0
1000,0.75,0.25,"Oracle-GMM",-0.119089750196081,0.119089750196081,0.342302040999216,0.559332824534521,0.942,0.058,0.0104533248299285,2.675,2.4318,0.044,0.466,0.21,0.006,0,0,500,0
1000,0.75,0.1,"DML-IVQR",-0.0842897501960814,0.0842897501960814,0.679738778985098,0.90949915997109,0.944,0.056,0.0102824121683582,3.8375,3.48205,0.39,0.764,0.866,0.008,0.036,0,500,0
1000,0.75,0.1,"Full-GMM",-0.408289750196081,0.408289750196081,0.853012237033726,1.09906236407002,0.95,0.05,0.00974679434480897,3.85,3.639,0.302,0.866,0.834,0.016,0.016,0,500,0
1000,0.75,0.1,"Oracle-GMM",-0.285289750196081,0.285289750196081,0.753183672006275,1.03481090135683,0.946,0.054,0.0101078187557949,3.9,3.56865,0.388,0.864,0.786,0.028,0.016,0,500,0
1000,0.9,1,"DML-IVQR",-0.178951565544601,0.178951565544601,0.184777108795286,0.213440630646706,0.526,0.474,0.022330427671677,0.45,0.444,0,0,0,0,0,0,500,0
1000,0.9,1,"Full-GMM",-0.378951565544601,0.378951565544601,0.394924696270929,0.466623541014278,0.538,0.462,0.0222960086114085,1,1.04555,0,0.002,0.004,0,0,0,500,0
1000,0.9,1,"Oracle-GMM",-0.0597515655446006,0.0597515655446006,0.105617219176244,0.136510107995821,0.878,0.122,0.0146366662871024,0.5,0.5182,0,0,0,0,0,0,500,0
1000,0.9,0.5,"DML-IVQR",-0.216551565544601,0.216551565544601,0.252342670442798,0.387259061275288,0.852,0.148,0.0158805541465026,1.1,1.3719,0,0.088,0.036,0,0,0,500,0
1000,0.9,0.5,"Full-GMM",-0.511151565544601,0.511151565544601,0.585835764375474,0.809913429298895,0.848,0.152,0.0160559023415067,2.425,2.425,0,0.312,0.18,0.002,0.004,0,500,0
1000,0.9,0.5,"Oracle-GMM",-0.189751565544601,0.189751565544601,0.271519963206347,0.472184727227202,0.924,0.076,0.0118510759005248,1.725,1.9248,0,0.222,0.026,0,0,0,500,0
1000,0.9,0.25,"DML-IVQR",-0.335551565544601,0.335551565544601,0.510760644614667,0.817458777639235,0.936,0.064,0.0109456840809517,3.375,2.97725,0.14,0.554,0.568,0.006,0.016,0,500,0
1000,0.9,0.25,"Full-GMM",-0.812151565544601,0.812151565544601,0.9545757827723,1.30311695768897,0.924,0.076,0.0118510759005248,3.625,3.47555,0.082,0.796,0.626,0.014,0.008,0,500,0
1000,0.9,0.25,"Oracle-GMM",-0.489951565544601,0.489951565544601,0.658772375730704,1.04530472905254,0.956,0.044,0.00917213170424412,3.65,3.35175,0.196,0.768,0.546,0.008,0.014,0,500,0
1000,0.9,0.1,"DML-IVQR",-0.524351565544601,0.524351565544601,0.802298581992883,1.16608435556313,0.94,0.06,0.0106207344378814,4,3.65695,0.508,0.868,0.902,0.006,0.036,0,500,0
1000,0.9,0.1,"Full-GMM",-1.0429515655446,1.0429515655446,1.23330198903448,1.57122818459698,0.95,0.05,0.00974679434480897,3.9,3.77205,0.288,0.918,0.888,0.024,0.032,0,500,0
1000,0.9,0.1,"Oracle-GMM",-0.671551565544601,0.671551565544601,0.928962725633277,1.34406901057401,0.962,0.038,0.00855055553750749,4,3.7842,0.558,0.934,0.906,0.024,0.034,0,500,0
